#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
Otu0663	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	79.876	100	4.06e-81	290	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0664	Peneroplis_sp1	Peneroplis_sp1	N/A	94.393	100	4.30e-144	499	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0665	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	95.975	100	1.09e-151	525	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0666	Oridorsalis_umbonatus_18653	Oridorsalis_umbonatus_18653	N/A	90.373	99	1.02e-126	442	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0667	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	98.452	100	1.51e-162	561	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0668	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	97.419	96	1.32e-150	521	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0669	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	78.638	100	1.09e-75	272	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0670	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	90.881	98	2.92e-127	444	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0671	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	89.130	99	2.73e-121	424	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0672	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	87.888	100	2.53e-115	404	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0673	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	97.523	100	9.53e-159	547	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0674	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	97.712	95	1.32e-150	521	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0675	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	94.427	100	3.55e-145	502	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0676	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	98.387	96	6.01e-155	535	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0677	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	89.655	99	2.24e-122	427	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0678	Oridorsalis_umbonatus_18653	Oridorsalis_umbonatus_18653	N/A	90.373	99	1.02e-126	442	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0679	Micrometula_sp._17554	Micrometula_sp._17554	N/A	81.646	98	5.29e-86	306	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0680	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	97.523	100	9.53e-159	547	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0681	Glabratella_sp._17918	Glabratella_sp._17918	N/A	98.762	100	3.55e-164	565	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0682	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	96.743	95	3.53e-145	502	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0683	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	95.639	100	1.60e-149	517	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0684	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	96.594	100	2.51e-153	530	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0685	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	95.356	100	5.63e-149	516	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0686	Peneroplis_sp1	Peneroplis_sp1	N/A	94.081	100	1.83e-142	494	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0687	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	95.046	100	6.86e-148	511	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0688	Planorbulinella_sp._17893	Planorbulinella_sp._17893	N/A	98.762	100	3.55e-164	565	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0689	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	97.214	100	4.05e-157	543	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0690	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	96.573	99	2.56e-153	530	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0691	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	92.547	99	2.10e-135	470	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0692	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	98.447	99	5.27e-162	559	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0693	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	87.616	100	1.31e-112	394	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0694	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	95.597	98	6.86e-148	511	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0695	Parasorites_sp.	Parasorites_sp	N/A	100.000	100	1.60e-168	580	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0696	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	82.407	99	6.88e-91	323	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0697	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	98.452	100	1.51e-162	561	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0698	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	97.523	100	9.53e-159	547	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0699	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	93.458	100	9.47e-140	485	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0700	Glabratella_sp._17918	Glabratella_sp._17918	N/A	98.142	100	1.84e-161	556	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0701	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	93.168	99	3.33e-139	482	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0702	Epistominella_exigua_18607	Epistominella_exigua_18607	N/A	90.654	99	8.36e-128	444	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0703	Lacogromia_cassipara_18990	Lacogromia_cassipara_18990	N/A	80.247	99	1.16e-81	291	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0704	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	90.031	100	4.30e-125	435	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0705	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	97.214	100	4.05e-157	543	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0706	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	96.285	100	2.56e-153	529	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0707	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	90.683	99	2.40e-128	446	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0708	Amphistegina_lessonii_NBCLAB5174	Amphistegina_lessonii_NBCLAB5174	N/A	96.594	100	2.10e-154	534	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0709	Spiroplectammina_sp._12209	Spiroplectammina_sp._12209	N/A	94.194	96	4.05e-138	479	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0710	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	97.833	100	7.82e-160	552	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0711	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	95.963	99	3.79e-151	523	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0713	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	92.236	99	7.33e-135	469	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0714	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	76.994	99	6.45e-66	240	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0715	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	94.099	99	5.27e-143	496	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0716	Nummulites_venosus_Otu043	Nummulites_venosus_Otu043	N/A	86.687	100	1.96e-110	387	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0718	Oridorsalis_umbonatus_18653	Oridorsalis_umbonatus_18653	N/A	97.523	100	9.53e-159	547	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0719	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	82.407	99	6.88e-91	323	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0720	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	98.762	100	3.55e-164	565	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0721	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	94.099	99	5.27e-143	496	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0722	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	94.444	100	1.84e-142	493	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0724	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	93.478	100	2.72e-140	487	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0726	Oridorsalis_umbonatus_18653	Oridorsalis_umbonatus_18653	N/A	99.071	100	2.91e-165	570	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0727	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	96.285	100	2.56e-153	529	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0728	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	80.124	99	3.34e-82	293	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0729	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	94.516	96	1.16e-138	480	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0730	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	99.381	100	6.85e-167	574	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0731	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	80.745	99	6.44e-85	302	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0732	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	87.774	98	4.63e-112	393	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0733	Rosalina_sp._17595	Rosalina_sp._17595	N/A	95.046	100	6.86e-148	511	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0734	Nummulites_venosus_Otu043	Nummulites_venosus_Otu043	N/A	78.221	99	6.36e-66	240	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0735	Glabratella_sp._17918	Glabratella_sp._17918	N/A	91.331	100	1.33e-131	457	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0736	Cribrorotalia_sp._17611	Cribrorotalia_sp._17611	N/A	91.331	100	1.33e-131	457	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0737	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	94.408	94	2.10e-135	470	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0738	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	98.762	100	3.55e-164	565	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0739	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	94.737	100	3.55e-145	503	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0740	Rosalina_sp._17595	Rosalina_sp._17595	N/A	98.452	100	1.51e-162	561	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0741	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	92.857	99	1.72e-136	474	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0742	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	91.615	99	3.80e-132	460	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0743	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	92.857	99	1.41e-137	478	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0744	Entzia_macrescens_13533	Entzia_macrescens_13533	N/A	75.000	96	2.40e-52	195	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0745	Micrometula_sp._17554	Micrometula_sp._17554	N/A	90.159	98	6.43e-123	429	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0746	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	94.099	100	5.26e-143	496	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0747	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	94.720	99	1.02e-145	505	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0748	Rosalina_sp._17595	Rosalina_sp._17595	N/A	91.641	100	1.09e-132	462	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0749	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	92.879	100	4.05e-138	480	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0750	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	97.170	98	2.10e-154	534	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0751	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	91.824	98	1.33e-131	457	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0752	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	91.641	100	1.09e-132	462	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0753	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	83.025	99	1.33e-93	332	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0754	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	89.783	99	2.24e-122	427	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0755	Glabratella_sp._17918	Glabratella_sp._17918	N/A	99.690	100	5.63e-168	579	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0756	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	91.331	100	1.61e-130	453	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0757	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	80.745	99	6.44e-85	302	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0759	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	96.885	100	5.97e-155	535	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0760	Lacogromia_cassipara_18990	Lacogromia_cassipara_18990	N/A	80.495	99	1.16e-81	292	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0761	Peneroplis_sp1	Peneroplis_sp1	N/A	94.704	100	3.53e-145	503	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0762	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	78.846	97	4.64e-74	266	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0763	Rosalina_sp._17595	Rosalina_sp._17595	N/A	97.806	99	1.16e-157	545	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0764	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	94.099	100	6.38e-142	492	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0765	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	79.503	99	1.73e-79	284	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0766	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	99.071	100	2.91e-165	570	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0767	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	88.088	98	1.09e-113	398	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0768	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	85.449	99	6.44e-104	366	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0769	Nummulites_venosus_Otu043	Nummulites_venosus_Otu043	N/A	92.260	100	2.55e-134	467	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0770	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	99.071	100	2.91e-165	570	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0772	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	81.056	99	5.29e-86	306	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0773	Lacogromia_cassipara_18990	Lacogromia_cassipara_18990	N/A	89.474	100	1.84e-123	430	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0774	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	80.247	99	6.03e-79	282	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0775	Nummulites_venosus_Otu043	Nummulites_venosus_Otu043	N/A	79.876	100	4.06e-81	290	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0777	Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.	Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp	N/A	90.402	100	2.92e-127	444	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0778	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	93.789	99	7.83e-141	488	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0779	Nummulites_venosus_Otu043	Nummulites_venosus_Otu043	N/A	76.994	99	1.71e-60	222	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0780	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	96.885	100	5.97e-155	535	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0781	Calcarina_gaudichaudii	Calcarina_gaudichaudii	N/A	98.762	100	3.55e-164	565	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0782	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	95.410	95	2.68e-140	487	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0783	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	93.189	100	9.53e-140	484	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0784	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	83.175	98	5.53e-92	325	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0785	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	84.211	100	4.06e-100	353	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0786	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	91.615	99	3.80e-132	460	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0787	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	97.214	100	4.05e-157	543	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0788	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	95.652	99	4.62e-150	518	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0789	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	92.038	97	1.61e-130	454	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0790	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	94.720	100	1.01e-145	505	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0791	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	92.835	99	4.94e-137	476	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0792	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	95.912	98	5.63e-149	516	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0793	Entzia_macrescens_13533	Entzia_macrescens_13533	N/A	89.968	96	1.16e-119	418	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0794	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	94.393	100	4.30e-144	499	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
